stock,window_id,train_start,train_end,test_start,test_end,train_return,train_sharpe,train_max_dd,train_win_rate,train_profit_factor,train_trades,train_confidence,test_return,test_sharpe,test_max_dd,test_win_rate,test_profit_factor,test_trades,test_confidence,is_overfitting
GOOGL,1,2020-06-16,2023-12-04,2023-12-05,2026-04-02,-46.69,-7.71,53.83,17.86,0.40,28,MEDIUM,36.80,5.09,12.45,47.06,1.98,17,LOW,False
META,2,2020-06-16,2023-12-04,2023-12-05,2026-04-02,9.51,1.35,23.14,39.29,1.15,28,MEDIUM,49.31,8.04,9.24,56.25,2.98,16,LOW,False
AAPL,3,2020-06-16,2023-12-04,2023-12-05,2026-04-02,12.69,2.28,13.67,38.89,1.29,18,LOW,0.70,0.52,10.47,36.84,1.02,19,LOW,True
MSFT,4,2020-06-16,2023-12-04,2023-12-05,2026-04-02,-28.16,-4.95,36.67,20.00,0.48,25,MEDIUM,6.82,1.66,14.65,35.29,1.20,17,LOW,False
SPY,5,2020-06-16,2023-12-04,2023-12-05,2026-04-02,5.10,1.40,18.47,35.29,1.15,17,LOW,10.15,3.04,7.98,38.46,1.44,13,LOW,False
AMZN,6,2020-06-16,2023-12-04,2023-12-05,2026-04-02,-32.17,-4.46,35.00,25.00,0.50,24,MEDIUM,-23.64,-4.26,31.49,20.00,0.56,20,MEDIUM,True
NVDA,7,2020-06-16,2023-12-04,2023-12-05,2026-04-02,-4.82,-0.04,31.73,34.48,0.93,29,MEDIUM,-14.21,-2.13,25.45,29.41,0.71,17,LOW,True
TSLA,8,2020-06-16,2023-12-04,2023-12-05,2026-04-02,60.49,5.72,11.99,47.83,2.07,23,MEDIUM,-21.11,-1.84,37.98,31.58,0.70,19,LOW,True
NFLX,9,2020-06-16,2023-12-04,2023-12-05,2026-04-02,-10.70,-0.07,31.13,29.17,0.86,24,MEDIUM,-7.41,-0.90,19.28,30.00,0.83,20,MEDIUM,True
AMD,10,2020-06-16,2023-12-04,2023-12-05,2026-04-02,-7.48,-0.69,20.93,31.58,0.85,19,LOW,26.52,4.06,15.09,44.44,1.59,18,LOW,False
JPM,11,2020-06-16,2023-12-04,2023-12-05,2026-04-02,23.14,3.10,13.83,39.13,1.43,23,MEDIUM,11.39,2.98,6.96,46.15,1.38,13,LOW,False
V,12,2020-06-16,2023-12-04,2023-12-05,2026-04-02,23.79,4.70,11.97,43.75,1.73,16,LOW,-4.43,-0.47,19.18,35.29,0.89,17,LOW,True
MA,13,2020-06-16,2023-12-04,2023-12-05,2026-04-02,-31.92,-7.58,40.31,15.00,0.35,20,MEDIUM,3.45,1.31,10.98,33.33,1.14,12,LOW,False
PYPL,14,2020-06-16,2023-12-04,2023-12-05,2026-04-02,27.89,4.26,18.54,47.37,1.62,19,LOW,-30.69,-5.63,35.70,22.22,0.43,18,LOW,True
